posicao_time_dentro,posicao_time_fora,media_gols_marcados_por_jogo_time_casa_em_casa,media_gols_sofridos_por_jogo_time_casa_em_casa,media_gols_sofridos_por_jogo_time_visitante_fora,gols_marcados_time_casa_segundo_sexto,gols_marcados_time_visitante_segundo_sexto,gols_sofridos_time_visitante_quinto_sexto,quantidade_de_gols_no_momento_expulsao_um_time_a,minuto_expulsao_um,minuto_expulsao_dois,diferenca_gols_expulsao_um,diferenca_gols_expulsao_dois,expulsao_dois_m_v_Visitante,quarto_ultimo_jogo_visitante_V,momento_expulsao_um_v_d_e_V,expulsao_um_m_v_Mandante,momento_expulsao_dois_v_d_e_D,momento_expulsao_dois_v_d_e_E,momento_expulsao_dois_v_d_e_V,resultado_final_v_d_e
15,7,1.08,0.92,0.92,1,2,0,2,94,False,1,False,0,0,1,0,0,0,0,V
5,19,1.31,0.62,1.85,0,1,7,0,23,False,0,False,0,0,0,0,0,0,0,V
13,17,1.08,0.92,1.83,1,0,2,1,79,False,0,False,0,1,0,0,0,0,0,V
17,11,0.85,1.0,1.33,0,1,3,1,80,False,0,False,0,0,0,0,0,0,0,E
2,20,2.25,0.5,2.0,3,0,1,0,68,False,0,False,0,0,0,0,0,0,0,V
9,4,1.42,0.75,0.75,2,1,1,2,84,95,1,1,0,1,1,1,0,0,1,E
19,7,0.5,1.08,1.33,2,1,5,0,4,False,0,False,0,0,0,1,0,0,0,D
14,13,1.0,1.17,1.92,0,0,4,1,78,False,1,False,0,0,1,0,0,0,0,V
11,7,1.58,1.25,0.92,3,2,0,1,68,False,-2,False,0,0,0,1,0,0,0,D
3,2,2.18,1.0,1.0,1,0,3,2,73,False,2,False,0,1,1,0,0,0,0,V
13,3,1.09,1.18,1.09,0,0,1,0,79,False,-1,False,0,0,0,0,0,0,0,D
